datetime,"Discharge, cubic feet per second (mean)","data-value (approved, provisional, estimated) "
3/4/14,39,A:e
3/5/14,37.7,A:e
3/6/14,37.7,A:e
3/7/14,37.2,A:e
3/8/14,39.2,A
3/9/14,40.7,A
3/10/14,40.4,A
3/11/14,51.4,A
3/12/14,88.4,A
3/13/14,158,A
3/14/14,99.4,A
3/15/14,79.7,A
3/16/14,90.9,A
3/17/14,78.9,A
3/18/14,69.5,A
3/19/14,62.7,A
3/20/14,199,A
3/21/14,149,A
3/22/14,108,A
3/23/14,114,A
3/24/14,89.5,A
3/25/14,79,A
3/26/14,72.8,A
3/27/14,68,A
3/28/14,78.6,A
3/29/14,154,A
3/30/14,1220,A
3/31/14,711,A
4/1/14,417,A
4/2/14,379,A
4/3/14,344,A
4/4/14,301,A
4/5/14,344,A
4/6/14,258,A
4/7/14,219,A
4/8/14,392,A
4/9/14,296,A
4/10/14,219,A
4/11/14,201,A
4/12/14,221,A
4/13/14,179,A
4/14/14,160,A
4/15/14,349,A
4/16/14,500,A
4/17/14,262,A
4/18/14,206,A
4/19/14,180,A
4/20/14,156,A
4/21/14,142,A
4/22/14,133,A
4/23/14,128,A
4/24/14,115,A
4/25/14,103,A
4/26/14,197,A
4/27/14,215,A
4/28/14,143,A
4/29/14,119,A
4/30/14,301,A
5/1/14,914,A
5/2/14,349,A
5/3/14,236,A
5/4/14,198,A
5/5/14,170,A
5/6/14,151,A
5/7/14,136,A
5/8/14,125,A
5/9/14,128,A
5/10/14,155,A
5/11/14,134,A
5/12/14,108,A
5/13/14,97.2,A
5/14/14,90.1,A
5/15/14,86.4,A
5/16/14,150,A
5/17/14,750,A
5/18/14,237,A
5/19/14,161,A
5/20/14,133,A
5/21/14,114,A
5/22/14,114,A
5/23/14,189,A
5/24/14,317,A
5/25/14,162,A
5/26/14,128,A
5/27/14,111,A
5/28/14,101,A
5/29/14,95.8,A
5/30/14,89.4,A
5/31/14,97.9,A
6/1/14,82.4,A
6/2/14,71.2,A
6/3/14,68.3,A
6/4/14,141,A
6/5/14,130,A
6/6/14,111,A
6/7/14,78.8,A
6/8/14,65.3,A
6/9/14,58.4,A
6/10/14,66.6,A
6/11/14,58.3,A
6/12/14,63.6,A
6/13/14,174,A
6/14/14,176,A
6/15/14,94,A
6/16/14,70,A
6/17/14,58.7,A
6/18/14,73,A
6/19/14,58.7,A
6/20/14,47.2,A
6/21/14,40.4,A
6/22/14,37.3,A
6/23/14,34.9,A
6/24/14,32.4,A
6/25/14,30.9,A
6/26/14,123,A
6/27/14,60,A
6/28/14,42.3,A
6/29/14,36.1,A
6/30/14,32,A
7/1/14,29.7,A
7/2/14,33.7,A
7/3/14,76.4,A
7/4/14,369,A
7/5/14,185,A
7/6/14,83.8,A
7/7/14,60.4,A
7/8/14,87.5,A
7/9/14,73.2,A
7/10/14,59.4,A
7/11/14,45.4,A
7/12/14,38.7,A
7/13/14,35,A
7/14/14,55.2,A
7/15/14,65.6,A
7/16/14,176,A
7/17/14,101,A
7/18/14,60,A
7/19/14,47.2,A
7/20/14,42.8,A
7/21/14,37.9,A
7/22/14,33.9,A
7/23/14,34.6,A
7/24/14,101,A
7/25/14,48.6,A
7/26/14,35.2,A
7/27/14,35.7,A
7/28/14,235,A
7/29/14,151,A
7/30/14,74,A
7/31/14,54.8,A
8/1/14,57,A
8/2/14,55.5,A
8/3/14,45.3,A
8/4/14,42.5,A
8/5/14,43.8,A
8/6/14,44.7,A
8/7/14,35.4,A
8/8/14,30.3,A
8/9/14,27.6,A
8/10/14,25.7,A
8/11/14,23.7,A
8/12/14,24,A
8/13/14,637,A
8/14/14,308,A
8/15/14,109,A
8/16/14,78.6,A
8/17/14,63.3,A
8/18/14,53.4,A
8/19/14,45.5,A
8/20/14,41.3,A
8/21/14,42.8,A
8/22/14,60.5,A
8/23/14,51.7,A
8/24/14,43.4,A
8/25/14,37.3,A
8/26/14,33.3,A
8/27/14,30.6,A
8/28/14,28.4,A
8/29/14,25.5,A
8/30/14,24.2,A
8/31/14,23.9,A
9/1/14,25.6,A
9/2/14,25.2,A
9/3/14,31.3,A
9/4/14,25.2,A
9/5/14,22.4,A
9/6/14,21.7,A
9/7/14,29.8,A
9/8/14,23.5,A
9/9/14,20.3,A
9/10/14,19.4,A
9/11/14,19.5,A
9/12/14,19.8,A
9/13/14,19.6,A
9/14/14,28,A
9/15/14,22.2,A
9/16/14,20.2,A
9/17/14,20,A
9/18/14,17.8,A
9/19/14,17,A
9/20/14,16.3,A
9/21/14,16.7,A
9/22/14,17,A
9/23/14,14.6,A
9/24/14,14,A
9/25/14,14,A
9/26/14,16.7,A
9/27/14,13.5,A
9/28/14,13,A
9/29/14,12.9,A
9/30/14,12.9,A
10/1/14,15,A
10/2/14,30.2,A
10/3/14,23.5,A
10/4/14,60.4,A
10/5/14,113,A
10/6/14,40.4,A
10/7/14,29.5,A
10/8/14,42.3,A
10/9/14,37.3,A
10/10/14,28.8,A
10/11/14,25.8,A
10/12/14,26.6,A
10/13/14,23.4,A
10/14/14,23.2,A
10/15/14,23.5,A
10/16/14,184,A
10/17/14,117,A
10/18/14,58,A
10/19/14,43.8,A
10/20/14,36.3,A
10/21/14,34.6,A
10/22/14,35,A
10/23/14,479,A
10/24/14,201,A
10/25/14,117,A
10/26/14,89.2,A
10/27/14,73.5,A
10/28/14,63.6,A
10/29/14,60.2,A
10/30/14,61.7,A
10/31/14,54.8,A
11/1/14,52.4,A
11/2/14,51.2,A
11/3/14,50,A
11/4/14,60.9,A
11/5/14,59.5,A
11/6/14,62,A
11/7/14,81.1,A
11/8/14,68,A
11/9/14,62.1,A
11/10/14,59.2,A
11/11/14,57.6,A
11/12/14,57.7,A
11/13/14,41.3,A
11/14/14,40.7,A
11/15/14,38.4,A
11/16/14,37.3,A
11/17/14,87.8,A
11/18/14,134,A
11/19/14,70.5,A
11/20/14,57,A
11/21/14,51.3,A
11/22/14,45.1,A
11/23/14,49.1,A
11/24/14,137,A
11/25/14,122,A
11/26/14,87.5,A
11/27/14,91.9,A
11/28/14,85.4,A
11/29/14,74.1,A
11/30/14,73.6,A
12/1/14,112,A
12/2/14,128,A
12/3/14,139,A
12/4/14,141,A
12/5/14,104,A
12/6/14,181,A
12/7/14,272,A
12/8/14,141,A
12/9/14,460,A
12/10/14,748,A
12/11/14,367,A
12/12/14,233,A
12/13/14,190,A
12/14/14,166,A
12/15/14,154,A
